CO.Fabrica,CO.Cliente,frete/unidade
3423909,2305,0.36659182004089985
3423909,2308,0.3664116033755274
3423909,2309,0.40402
3423909,2310,0.32481757016248153
3423909,2311,0.3663948022598871
3423909,2324,0.31506300000000004
3423909,2326,0.33669675874769794
3423909,2327,0.3560873333333333
3423909,2328,0.3459946644120708
3423909,2329,0.3591213712899543
3423909,2330,0.4370946433030141
3423909,2331,0.33493886524822697
3423909,2332,0.3602377777777778
3423909,2333,0.59854
3423909,2334,0.40402
3423909,2335,0.40402
3423909,2336,0.4835801600985222
3423909,2337,0.4682312323828253
3423909,2338,0.4641819670863707
3423909,2339,0.5569885185185185
3423909,2340,0.6133746207616066
3423909,2341,0.5790868105413105
3423909,2342,0.572810011445677
3423909,2343,0.6132539689429012
3423909,2347,0.6880213281878116
3423909,2348,0.7222775664767331
3423909,2349,0.6136983333333333
3423909,2350,0.6858356904508343
3423909,2351,0.6378815
