CodFabrica;CodCliente;QtdTranspCIF;Custo por Unidade;Custo Total;QtdTransp Otimizada;Custo por Unidade com 5%;Custo Total com 5%
3403208;2301;13500;0,55399037;7478,87;5973721;0,581689889;7852,8135
3403208;2302;10500;0,457008571;4798,59;1778080;0,479859;5038,5195
3403208;2303;16200;0,419487037;6795,69;5958798;0,440461389;7135,4745
3403208;2304;1199100;0,43445098;520950,17;896173;0,456173529;546997,6785
3403208;2305;1395900;0,468723669;654291,37;3241494;0,492159853;687005,9385
3403208;2306;1332000;0,518315383;690396,09;3244827;0,544231152;724915,8945
3403208;2307;10500;0,506635238;5319,67;12738726;0,531967;5585,6535
3403208;2308;1400100;0,515140869;721248,73;6792503;0,540897912;757311,1665
3403208;2309;903000;0,40467711;365423,43;7471374;0,424910965;383694,6015
3403208;2310;817500;0,680316856;556159,03;0;0,714332699;583966,9815
3403208;2311;1186500;0,384488833;456196;7295028;0,403713274;479005,8
3403208;2312;1214700;0,751316835;912624,56;1350774;0,788882677;958255,788
3403208;2313;9900;0,718014141;7108,34;1439856;0,753914848;7463,757
3403208;2314;37200;0,673479839;25053,45;3977784;0,707153831;26306,1225
3403208;2315;1094100;0,785915492;859870,14;3666906;0,825211267;902863,647
3403208;2316;939300;0,794334888;746118,76;271034;0,834051632;783424,698
3403208;2317;19200;0,790064583;15169,24;1272373;0,829567813;15927,702
3403208;2318;1474200;0,781945279;1152743,73;569236;0,821042543;1210380,917
3403208;2319;1073400;0,65770913;705984,98;215154;0,690594586;741284,229
3403208;2320;9000;0,724962222;6524,66;0;0,761210333;6850,893
3403208;2321;14400;0,768091667;11060,52;0;0,80649625;11613,546
3403208;2322;1120500;0,658448077;737791,07;0;0,691370481;774680,6235
3403208;2323;9000;0,739795556;6658,16;0;0,776785333;6991,068
3403208;2324;1534800;0,671379776;1030433,68;0;0,704948765;1081955,364
3403208;2325;13500;0,59219037;7994,57;0;0,621799889;8394,2985
3403208;2326;2302800;0,660412758;1520798,5;0;0,693433396;1596838,425
3403208;2327;1410000;0,672662199;948453,7;0;0,706295309;995876,385
3403208;2328;1377300;0,690911203;951592;0;0,725456763;999171,6
3403208;2329;7800;0,743687179;5800,76;0;0,780871538;6090,798
3403208;2330;22200;0,751928829;16692,82;0;0,78952527;17527,461
3403208;2331;1298700;0,658879941;855687,38;0;0,691823939;898471,749
3403208;2332;23400;0,650659829;15225,44;0;0,683192821;15986,712
3403208;2333;14100;0,615764539;8682,28;1336988;0,646552766;9116,394
3403208;2334;1193100;0,645338924;769953,87;0;0,67760587;808451,5635
3403208;2335;1371900;0,654288636;897618,58;0;0,687003068;942499,509
3403208;2339;19800;0,848066667;16791,72;0;0,89047;17631,306
3403208;2340;1144200;0,910686401;1042007,38;0;0,956220721;1094107,749
3403208;2341;1140000;0,859333974;979640,73;0;0,902300672;1028622,767
3403208;2342;1457400;0,850143591;1238999,27;0;0,892650771;1300949,234
3403208;2343;1290600;0,926954045;1196326,89;0;0,973301747;1256143,235
3403208;2344;1199700;0,599876678;719672,05;678417;0,629870511;755655,6525
3403208;2345;1044600;0,605131543;632120,41;3600095;0,63538812;663726,4305
3403208;2346;15300;0,6058;9268,74;3522678;0,63609;9732,177
3403208;2347;126000;0,40402;50906,52;3675315;0,424221;53451,846
3403208;2348;509700;0,304568354;155238,49;1310374;0,319796772;163000,4145
3403208;2349;3000;0,374513333;1123,54;1761137;0,393239;1179,717
3403208;2350;1021800;0,370030965;378097,64;4402893;0,388532513;397002,522
3403208;2351;21600;0,405762037;8764,46;1331761;0,426050139;9202,683
3423909;2305;244500;0,36659182;89631,7;0;0,384921411;94113,285
3423909;2308;237000;0,366411603;86839,55;0;0,384732184;91181,5275
3423909;2309;57000;0,40402;23029,14;0;0,424221;24180,597
3423909;2310;1131600;0,316364316;357997,86;2098730;0,332182532;375897,753
3423909;2311;265500;0,366394802;97277,82;0;0,384714542;102141,711
3423909;2324;8400;0,307578571;2583,66;20427048;0,3229575;2712,843
3423909;2326;543000;0,336696759;182826,34;1104755;0,353531597;191967,657
3423909;2327;7800;0,356042308;2777,13;0;0,373844423;2915,9865
3423909;2328;1667100;0,337998884;563477,94;6145143;0,354898829;591651,837
3423909;2329;1002900;0,350372649;351388,73;0;0,367891282;368958,1665
3423909;2330;1357800;0,400230233;543432,61;0;0,420241744;570604,2405
3423909;2331;493500;0,334938865;165292,33;4084642;0,351685809;173556,9465
3423909;2332;9000;0,360237778;3242,14;0;0,378249667;3404,247
3423909;2333;1500;0,59854;897,81;0;0,628467;942,7005
3423909;2334;106500;0,40402;43028,13;0;0,424221;45179,5365
3423909;2335;153000;0,40402;61815,06;0;0,424221;64905,813
3423909;2336;820200;0,448566764;367914,46;1716192;0,470995102;386310,183
3423909;2337;1440000;0,432121743;622255,31;827342;0,45372783;653368,0755
3423909;2338;1037100;0,428755906;444662,75;2539443;0,450193701;466895,8875
3423909;2339;21600;0,510851852;11034,4;1789064;0,536394444;11586,12
3423909;2340;2266500;0,579128114;1312593,87;973767;0,60808452;1378223,564
3423909;2341;1241100;0,536728878;666134,21;5304924;0,563565321;699440,9205
3423909;2342;1337700;0,532020042;711683,21;838856;0,558621044;747267,3705
3423909;2343;2424600;0,578225324;1401965,12;8150094;0,60713659;1472063,376
3423909;2347;1485300;0,645176927;958281,29;0;0,677435774;1006195,355
3423909;2348;1212900;0,685862256;831882,33;0;0,720155369;873476,4465
3423909;2349;21300;0,558456808;11895,13;0;0,586379648;12489,8865
3423909;2350;1330200;0,641407773;853200,62;0;0,673478162;895860,651
3423909;2351;24600;0,607463415;14943,6;0;0,637836585;15690,78
3424402;2301;2442300;0,421895844;1030396,22;0;0,442990636;1081916,031
3424402;2302;1422900;0,389997062;554926,82;0;0,409496915;582673,161
3424402;2303;999300;0,387820955;387549,48;0;0,407212002;406926,954
3424402;2304;1240800;0,37590569;466423,78;0;0,394700974;489744,969
3424402;2305;2826900;0,399954809;1130632,25;0;0,41995255;1187163,863
3424402;2306;1119900;0,382707876;428594,55;0;0,401843269;450024,2775
3424402;2307;2877000;0,402920149;1159201,27;0;0,423066157;1217161,334
3424402;2308;1108500;0,3824435;423938,62;0;0,401565675;445135,551
3424402;2309;5681700;0,444993766;2528321,08;0;0,467243454;2654737,134
3424402;2310;136500;0,396206374;54082,17;0;0,416016692;56786,2785
